Program for reverse faulting, modified from general4.f and layer5rev_distrib.f (https://github.com/aochihi/DepthStress)
Reference: Aochi (2018), Aochi & Tsuda (2023)
UPDATE 2024/03/12 by Mike (H. SU)
++++++++++++++++++++++++++++++++++++++++++++
INPUT parameters
static friction coef.  [mu_s]:   0.60
dynamic friction coef.  [mu_d]:   0.33
optimal fault orientation [phi]:  29.52
dip angle [dip]:  50.00
cohesion [cohesion]:   5.00
fault relative prestress [R_assume]:   1.00
++++++++++++++++++++++++++++++++++++++++++++
Depth[km] S1[MPa]   S3[MPa]   t0[MPa]   tp[MPa]   tr[MPa]   n0[MPa]   S         G              strain_c       strain         
0.000     13.892    0.000     6.841     9.891     2.690     8.152     0.735     1.009e+10      6.887e-10      8.756e-10      
0.010     14.128    0.236     6.841     10.033    2.768     8.388     0.784     1.009e+10      6.887e-10      9.004e-10      
0.020     14.364    0.472     6.841     10.175    2.846     8.624     0.835     1.009e+10      6.887e-10      9.252e-10      
0.030     14.601    0.708     6.841     10.316    2.924     8.861     0.887     1.009e+10      6.887e-10      9.500e-10      
0.040     14.837    0.945     6.841     10.458    3.002     9.097     0.942     1.009e+10      6.887e-10      9.748e-10      
0.050     15.073    1.181     6.841     10.600    3.080     9.333     1.000     1.009e+10      6.887e-10      9.996e-10      
0.060     15.309    1.417     6.841     10.741    3.158     9.569     1.059     1.009e+10      6.887e-10      1.024e-09      
0.070     15.545    1.653     6.841     10.883    3.236     9.805     1.121     1.009e+10      6.887e-10      1.049e-09      
0.080     15.781    1.889     6.841     11.025    3.314     10.041    1.186     1.009e+10      6.887e-10      1.074e-09      
0.090     16.017    2.125     6.841     11.166    3.392     10.277    1.254     1.009e+10      6.887e-10      1.099e-09      
0.100     16.253    2.361     6.841     11.308    3.469     10.513    1.325     1.009e+10      6.887e-10      1.124e-09      
0.110     16.490    2.597     6.841     11.450    3.547     10.750    1.400     1.009e+10      6.887e-10      1.148e-09      
0.120     16.726    2.834     6.841     11.591    3.625     10.986    1.478     1.009e+10      6.887e-10      1.173e-09      
0.130     16.962    3.070     6.841     11.733    3.703     11.222    1.559     1.009e+10      6.887e-10      1.198e-09      
0.140     17.198    3.306     6.841     11.875    3.781     11.458    1.646     1.009e+10      6.887e-10      1.223e-09      
0.150     17.434    3.542     6.841     12.016    3.859     11.694    1.736     1.009e+10      6.887e-10      1.248e-09      
0.160     17.670    3.778     6.841     12.158    3.937     11.930    1.831     1.009e+10      6.887e-10      1.273e-09      
0.170     17.906    4.014     6.841     12.300    4.015     12.166    1.932     1.009e+10      6.887e-10      1.297e-09      
0.180     18.142    4.250     6.841     12.442    4.093     12.403    2.038     1.009e+10      6.887e-10      1.322e-09      
0.190     18.379    4.486     6.841     12.583    4.171     12.639    2.151     1.009e+10      6.887e-10      1.347e-09      
0.200     18.615    4.723     6.841     12.725    4.249     12.875    2.270     1.009e+10      6.887e-10      1.372e-09      
0.210     18.851    4.959     6.841     12.867    4.327     13.111    2.397     1.009e+10      6.887e-10      1.397e-09      
0.220     19.087    5.195     6.841     13.008    4.405     13.347    2.532     1.009e+10      6.887e-10      1.421e-09      
